id,Titulo,Tipo,Privado,Descripcion
TMA-CE99,Recurso AWS Sin Integración de WAF,Amenaza,No,"El recurso no está integrado con AWS WAF, lo que lo deja expuesto frente a exploits y ataques web comunes."
TMA-1926,AWS EC2 Solo Puede Usar AMIs Aprobadas,Control,No,Asegurar que únicamente las AMIs previamente aprobadas puedan emplearse para lanzar instancias EC2.
TMA-809B,Aplicar Autenticación,Control,No,"Implementar mecanismos de autenticación robustos para acceder a los recursos y funcionalidades del nodo, como contraseñas, tokens precompartidos o certificados digitales."
TMA-86CC,Acceso Sin Restricciones al Portal de Administración de Microsoft Entra ID,Amenaza,No,"El acceso al portal de administración de Microsoft Entra ID está habilitado sin restricciones, representando un riesgo de seguridad significativo."
TMA-8D75,Monitoreo con GCP Cloud Logging,Control,No,"Habilitar GCP Cloud Logging, cuando esté disponible, para fines de seguridad, cumplimiento normativo y diagnóstico de incidencias."
TMA-112F,Monitoreo de Registros con Azure Monitor,Control,No,"Habilitar los registros de diagnóstico, cuando estén disponibles, para supervisar las interacciones del recurso con otros servicios en la nube."
TMA-1ADE,Gestión de Parches,Control,No,"Mantener actualizadas las bibliotecas de software, componentes externos y demás dependencias de forma automatizada, oportuna y basada en la gestión del riesgo."
TMA-11FB,AWS Lambda Sin URL de Función,Control,No,Verificar que la función Lambda no tenga habilitadas URLs de función innecesarias.
TMA-1209,Monitoreo de Alertas con GCP Cloud Logging,Control,No,Configurar políticas de alertas para recibir notificaciones ante eventos de seguridad inusuales detectados en GCP.
TMA-3C16,Recurso GCP con Registro y Monitoreo Inadecuados,Amenaza,No,"El recurso GCP no está siendo supervisado adecuadamente por servicios de registro como Cloud Logging y otras herramientas específicas del recurso, limitando la capacidad de detección y respuesta ante eventos de seguridad."
TMA-A559,Control de Acceso Azure con Rol de Propietario Personalizado,Amenaza,No,"Existe un rol de propietario personalizado que otorga acceso administrativo completo a toda la cuenta de Microsoft Azure, aumentando el riesgo de abuso de privilegios."
TMA-5970,Escalada de Privilegios,Amenaza,No,"El nodo es vulnerable a ataques de escalada de privilegios, donde un adversario logra obtener permisos de nivel superior a los que le corresponden."
TMA-9398,Recurso Azure con Privilegios Excesivos,Amenaza,No,Al recurso Azure se le han concedido privilegios excesivos que permiten el acceso no autorizado a información o recursos sensibles.
TMA-6A01,Validación de Entrada,Control,No,Asegurar que solo los datos con el formato correcto sean admitidos en el sistema antes de ser procesados.
TMA-81F8,Monitoreo de Alarmas con AWS CloudWatch,Control,No,Configurar alarmas de CloudWatch para recibir notificaciones ante eventos de seguridad inusuales.
TMA-649A,AWS KMS con Claves Administradas por el Cliente,Control,No,Asegurar que la información sensible procesada por el recurso esté cifrada mediante Claves Maestras del Cliente (CMK) de KMS para mantener el control total sobre el cifrado y cumplir con los requisitos normativos.
TMA-C02E,Monitoreo con Azure Monitor Application Insights,Control,No,Habilitar Application Insights para supervisar las métricas de seguridad y rendimiento de la aplicación web.
TMA-274F,Autenticación de Certificados SSL de Cliente en Recursos AWS,Control,No,Aplicar la autenticación de certificados SSL del lado del cliente para garantizar que solo los clientes autorizados con certificados válidos puedan acceder al recurso.
TMA-F973,Mantener un Inventario de Activos,Control,No,Mantener activamente un inventario de activos de TI para garantizar el cumplimiento de los estándares organizacionales de seguridad y facilitar la gestión del riesgo.
TMA-4E53,Almacenamiento Inseguro de Secretos en GCP GKE,Amenaza,No,Los secretos de Kubernetes no se almacenan de forma segura mediante el servicio Secret Manager.
TMA-3ED3,Políticas de Clave de Acceso y Contraseña para Usuarios de AWS IAM,Control,No,Establecer y aplicar políticas de rotación de claves de acceso y contraseñas seguras para los usuarios de IAM.
TMA-9592,Repudio,Amenaza,No,"El nodo es propenso a amenazas de repudio, por las cuales un atacante puede negar sus acciones sin posibilidad de rastreo ni trazabilidad."
TMA-BBE6,Recurso AWS Permite Conexiones Sin Cifrado TLS Seguro,Amenaza,No,"El recurso permite tráfico de red sin cifrado TLS adecuado, incluyendo tráfico sin cifrar, versiones de protocolo obsoletas o suites de cifrado débiles, lo que puede exponer los datos en tránsito a atacantes."
TMA-1F59,GCP Cloud Run Sin Autorización Binaria,Amenaza,No,El recurso no emplea Autorización Binaria para reducir el riesgo de desplegar software vulnerable o malicioso en el entorno.
TMA-8680,Microsoft Entra ID No Permite Creación de Grupos,Control,No,Asegurar que los usuarios no puedan crear grupos de Office 365 ni grupos de seguridad sin autorización.
TMA-C741,Verificación de Certificados Comodín en AWS ACM,Control,No,Evitar la emisión o importación de certificados comodín mediante ACM para limitar el alcance de la confianza.
TMA-15A7,GCP GKE Usa Nodos Reforzados,Control,No,Habilitar los Nodos GKE Reforzados para impedir que un atacante que haya obtenido credenciales de arranque pueda suplantar nodos en el clúster de Kubernetes.
TMA-CA75,Máquina Virtual Azure No Usa Inicio de Confianza,Amenaza,No,La instancia de Máquina Virtual Azure no emplea el Inicio de Confianza para protegerse frente a ataques persistentes y avanzados.
TMA-A4C4,Monitoreo Básico con AWS CloudWatch,Control,No,Utilizar el monitoreo básico de CloudWatch para el seguimiento y análisis de las métricas del recurso.
TMA-180C,Azure Storage Habilita Cifrado de Infraestructura,Control,No,Asegurar que la cuenta de almacenamiento utilice cifrado de infraestructura para satisfacer los requisitos de seguridad y normativa.
TMA-EB61,Tokens SAS de Azure Storage Aplican Control de Acceso,Control,No,Asegurar que los tokens SAS utilizados para acceder a la cuenta de almacenamiento de Azure empleen políticas de acceso estrictas contra accesos no autorizados.
TMA-25B5,Recurso GCP con Mínimo Privilegio,Control,No,Asegurar que el recurso GCP tenga únicamente los privilegios mínimos necesarios para ejecutar sus tareas.
TMA-9951,Creación de Cuentas de Servicio de GCP IAM Sin Restricciones,Amenaza,No,Los usuarios pueden crear cuentas de servicio en GCP sin ninguna restricción o control previo.
TMA-C4BC,Expiración de Sesión Insuficiente,Amenaza,No,"El nodo no cierra las sesiones de usuario activas tras un período predefinido de inactividad, ampliando la ventana de oportunidad para que un atacante reutilice identificadores de sesión caducados con fines de autorización."
TMA-C793,Deshabilitar Acceso Remoto en AWS EKS,Control,No,Limitar correctamente o deshabilitar el acceso remoto a los grupos de nodos del clúster EKS conforme a los requisitos establecidos.
TMA-2557,Scripting entre Sitios (XSS),Amenaza,No,"El nodo utiliza entradas no confiables para generar contenido HTML. Los atacantes pueden inyectar scripts maliciosos en dicho contenido e inducir a la víctima a visualizarlo, forzando al navegador a ejecutar código del lado del cliente en el contexto del sitio objetivo con los privilegios del usuario."
TMA-81C4,Recurso Azure con Políticas de Acceso Permisivas,Amenaza,No,El recurso Azure tiene una política de acceso excesivamente permisiva que puede permitir a usuarios no autorizados acceder a datos o funciones no intendidas.
TMA-8681,Recurso AWS Asegura Conexiones con Cifrado TLS Robusto,Control,No,Asegurar que el recurso AWS aplique estrictamente conexiones de red con las versiones de protocolo TLS aprobadas y suites de cifrado sólidas para proteger los datos en tránsito frente a exposición.
TMA-FF7D,Recurso AWS Restringe el Acceso desde Redes Públicas,Control,No,Asegurar que el recurso AWS no sea accesible desde la red pública.
TMA-5762,Redacción de Datos Sensibles,Control,No,"Redactar, ofuscar o tokenizar información sensible como números de tarjetas de crédito u otros datos críticos."
TMA-477B,Carga de Archivos Maliciosos,Amenaza,No,El nodo expone funcionalidad que puede ser explotada para cargar y potencialmente ejecutar archivos maliciosos.
TMA-A1E2,Cortafuegos,Control,No,Utilizar dispositivos de red para filtrar el tráfico de entrada y salida. Configurar software en los endpoints para controlar el tráfico de red según políticas definidas.
TMA-32AA,Recurso Azure Restringe el Acceso desde Redes Públicas,Control,No,Asegurar que el recurso Azure no sea accesible desde la red pública.
TMA-563A,Componente Vulnerable u Obsoleto,Amenaza,No,"El nodo incluye componentes desactualizados o con vulnerabilidades conocidas, como bibliotecas de software sin los últimos parches, exponiendo el sistema a exploits y brechas potenciales."
TMA-361F,Monitoreo con AWS CloudTrail,Control,No,Emplear CloudTrail para aumentar la visibilidad sobre las actividades del recurso y facilitar el análisis de seguridad.
TMA-A161,Uso de Consultas SQL Parametrizadas,Control,No,Precompilar las sentencias SQL para prevenir ataques de inyección SQL en el servidor de base de datos.
TMA-B434,AWS EKS con Grupos de Seguridad Estrictos,Control,No,Utilizar grupos de seguridad restrictivos para garantizar que el clúster EKS esté protegido frente a exposición no deseada.
TMA-166E,Inyección NoSQL,Amenaza,No,El nodo usa entradas no confiables para construir consultas sobre un servidor de base de datos NoSQL. Los atacantes pueden inyectar cadenas maliciosas para manipular sentencias y ejecutar acciones no previstas.
TMA-A8B6,Acceso Administrativo Sin Restricciones a GCP Cloud MySQL,Amenaza,No,"La base de datos MySQL permite a los usuarios administrativos conectarse sin requerir contraseña de root, lo que representa un riesgo de seguridad grave."
TMA-58FD,Políticas de Contraseñas,Control,No,Establecer y aplicar políticas de contraseñas seguras para todas las cuentas del sistema.
TMA-8E36,Cuenta Administrativa de GCP IAM Sin Llave de Seguridad Física,Amenaza,No,La cuenta administrativa puede iniciar sesión sin necesidad de utilizar una Llave de Seguridad física como segundo factor.
TMA-BD86,Recurso AWS con Registro y Monitoreo Inadecuados,Amenaza,No,"El recurso AWS no está siendo supervisado adecuadamente por servicios de registro como CloudWatch, CloudTrail y otras herramientas específicas del recurso, limitando la capacidad de detección y respuesta ante eventos de seguridad."
TMA-1ABF,No Vinculabilidad,Control,No,"Si el anonimato es un requisito, evitar el uso de identificadores u otros datos combinados que puedan vincular acciones o información a personas específicas."
TMA-9743,Recurso AWS Cifra Datos con Claves Administradas por el Cliente,Control,No,Asegurar que la información sensible procesada por el recurso AWS esté cifrada mediante Claves Maestras del Cliente (CMK) de KMS para mantener el control total sobre el cifrado y cumplir con los requisitos normativos.
TMA-32DE,Usuario de AWS IAM con Acceso a la Consola Sin MFA,Amenaza,No,El usuario IAM con acceso a la consola puede autenticarse sin necesidad de utilizar autenticación multifactor.
TMA-FE72,Transparencia de Acceso de GCP IAM Deshabilitada,Amenaza,No,"La función de Transparencia de Acceso, destinada a incrementar la visibilidad sobre las acciones realizadas por los usuarios, no está habilitada."
TMA-510A,Divulgación de Información,Amenaza,No,"El nodo filtra fragmentos de información sensible, tales como datos internos o credenciales de autenticación, que pueden ser utilizados para facilitar ataques posteriores."
TMA-28DB,AWS KMS No Usa Clave Administrada por el Cliente,Amenaza,No,No se emplean Claves Administradas por el Cliente (CMK) para satisfacer los requisitos estrictos de seguridad y cumplimiento normativo.
TMA-FAFE,Fuerza Bruta de Contraseñas,Amenaza,No,El nodo no protege adecuadamente contra intentos masivos de autenticación con distintas contraseñas para acceder a la cuenta objetivo.
TMA-8F82,Abuso de Funciones Mal Configuradas o de Depuración,Amenaza,No,"El nodo tiene configuraciones incorrectas activas, como funciones de desarrollo o depuración habilitadas en producción. Los adversarios pueden aprovecharse de esto para realizar acciones no previstas por la aplicación."
TMA-D124,Cuentas de Servicio Gestionadas por Usuario de GCP IAM Usan Claves Gestionadas por Usuario,Amenaza,No,"La cuenta de servicio gestionada por el usuario emplea claves administradas por el propio usuario en lugar de claves administradas por GCP, resultando en claves no supervisadas adecuadamente."
TMA-9923,Inyección SQL,Amenaza,No,El nodo emplea entradas no confiables para construir consultas ejecutadas contra un servidor de base de datos SQL. Los atacantes pueden inyectar cadenas maliciosas para alterar sentencias y realizar operaciones no previstas por la aplicación.
TMA-407D,Certificados AWS ACM con Nombres de Dominio Comodín,Amenaza,No,"Se emiten certificados comodín a través de ACM, lo que puede ampliar innecesariamente el alcance de la confianza de los certificados."
TMA-F46C,Abuso de Privilegios Otorgados,Amenaza,No,"El nodo no asigna ni verifica correctamente los controles de autorización. A diferencia de la escalada activa de privilegios, el sistema concede a los adversarios acceso a recursos y funcionalidades fuera del alcance previsto."
TMA-CA19,Usuario de Microsoft Entra ID Sin MFA,Amenaza,No,El usuario puede autenticarse e iniciar sesión sin necesidad de utilizar autenticación multifactor.
TMA-FA46,Valores de Seguridad Predeterminados Deshabilitados en Microsoft Entra ID,Amenaza,No,"Los valores de seguridad predeterminados están desactivados en Microsoft Entra ID, debilitando la postura de seguridad de la cuenta."
TMA-E5B9,Azure Storage Solo Acepta Tokens SAS por HTTPS,Control,No,La cuenta de almacenamiento permite el acceso mediante URIs de Firma de Acceso Compartido (SAS) exclusivamente a través del protocolo HTTPS.
TMA-D52D,Recurso Azure Aplica Filtrado de Direcciones IP,Control,No,"Restringir el acceso al recurso Azure únicamente a las direcciones IP de confianza, reduciendo el riesgo de acceso no autorizado."
TMA-1118,Inyección de Comandos del Sistema Operativo,Amenaza,No,El nodo ejecuta entradas no confiables como instrucciones del sistema operativo. Los atacantes pueden enviar cadenas maliciosas para desviar la ejecución de comandos y realizar operaciones no autorizadas.
TMA-DCF2,Recurso GCP Accesible Públicamente,Amenaza,No,El recurso GCP no está adecuadamente protegido y permite el acceso anónimo o público sin restricciones.
TMA-932A,Identidad de GCP IAM con Mínimo Privilegio,Control,No,Asegurar que la identidad de GCP IAM tenga únicamente los privilegios mínimos necesarios para desempeñar sus funciones.
TMA-5736,Auditoría de Seguridad,Control,No,"Realizar auditorías o análisis periódicos de sistemas, permisos, software inseguro y configuraciones inadecuadas para identificar posibles vulnerabilidades."
TMA-D334,Puerta de Enlace Azure API Management con Métodos de Autenticación Inadecuados,Amenaza,No,"Los métodos de autenticación de la puerta de enlace de API Management son limitados, ofreciendo opciones insuficientes para garantizar la seguridad y el control de acceso robustos."
TMA-2E2C,AWS S3 Sin Registro de Acceso al Servidor,Amenaza,No,"El bucket de S3 no tiene habilitado el registro de acceso al servidor, dificultando la detección y auditoría de accesos no autorizados."
TMA-704F,Recurso Azure No Usa Identidades Administradas,Amenaza,No,El recurso no emplea identidades asignadas por el sistema ni por el usuario para la gestión detallada del control de acceso.
TMA-3312,Cifrado de Variables de Entorno en AWS Lambda,Control,No,Garantizar el cifrado en tránsito de las variables de entorno de Lambda que contienen datos sensibles.
TMA-9E85,Falsificación de Solicitud entre Sitios (CSRF),Amenaza,No,"La aplicación web no implementa patrones de programación anti-CSRF. Los atacantes pueden forjar un enlace malicioso y persuadir a la víctima de visitarlo, lo que fuerza al navegador a ejecutar acciones con los privilegios del usuario aprovechando las cookies de sesión activas."
TMA-8206,Identificación Única de Usuario,Control,No,Asignar un nombre y/o número único a cada usuario para su correcta identificación y seguimiento dentro del sistema.
TMA-8A23,Recurso AWS Cifra los Datos,Control,No,Asegurar que la información sensible procesada por el recurso esté cifrada para cumplir con los requisitos de seguridad y normativa vigente.
TMA-6335,GCP Compute Engine Permite el Uso de Imágenes No Aprobadas,Amenaza,No,Las instancias de máquina virtual pueden iniciarse utilizando imágenes no aprobadas ni verificadas previamente.
TMA-D83B,Cumplimiento de Privacidad,Control,No,
TMA-68C8,Gestión No Autorizada de Grupos y Aplicaciones en Microsoft Entra ID,Amenaza,No,"Los usuarios de Microsoft Entra ID disponen de amplias capacidades para habilitar la administración de grupos por autoservicio, aplicaciones de galería o consentir que aplicaciones accedan a datos corporativos."
TMA-53FC,Inclusión de Código Local o Remoto,Amenaza,No,El nodo interpreta y ejecuta código no confiable obtenido localmente o desde ubicaciones remotas. Los atacantes pueden indicar una ruta maliciosa para incluir código arbitrario y ejecutar acciones ajenas a las previstas.
TMA-3643,Imagen de Disco Compartida de GCP Compute Engine Accesible Públicamente,Amenaza,No,La imagen de disco compartida no está adecuadamente protegida y permite acceso anónimo o público sin restricciones.
TMA-2D6E,Recurso AWS Aplica Filtrado de Direcciones IP,Control,No,"Restringir el acceso al recurso únicamente a las direcciones IP de confianza, reduciendo la superficie de ataque y el riesgo de acceso no autorizado."
TMA-5B9E,Recurso Azure Asegura Conexiones con Cifrado TLS Robusto,Control,No,Asegurar que el recurso Azure aplique conexiones de red con las versiones de protocolo TLS aprobadas y suites de cifrado sólidas para proteger los datos en tránsito frente a exposición.
TMA-E065,AWS Lambda Sin Firma de Código,Amenaza,No,"La función Lambda no valida la firma del código desplegado, permitiendo la posible ejecución de código no autorizado o malicioso."
TMA-835E,Deshabilitar o Eliminar Funciones Peligrosas,Control,No,Eliminar o restringir el acceso a funcionalidades que puedan ser abusadas por adversarios para comprometer el sistema.
TMA-65A7,Procedimiento de Acceso de Emergencia,Control,No,Establecer e implementar procedimientos para obtener acceso a la información electrónica de salud protegida necesaria durante situaciones de emergencia.
TMA-8B42,Creación No Autorizada de Grupos en Microsoft Entra ID,Amenaza,No,Los usuarios de Microsoft Entra ID tienen la capacidad de crear grupos de Office 365 y grupos de seguridad sin restricción.
TMA-8267,AWS CloudFront Se Conecta a Orígenes Sin Cifrado TLS Seguro,Amenaza,No,"CloudFront recupera contenido de los orígenes sin emplear conexiones cifradas adecuadamente con TLS, incluyendo tráfico sin cifrar, versiones de protocolo obsoletas o suites de cifrado débiles, lo que puede exponer los datos en tránsito a atacantes."
TMA-98C3,Autenticación de Certificado de Cliente,Control,No,"Al actuar como servidor, asegurar que el nodo autentique correctamente los certificados presentados por los clientes."
TMA-DDDD,Microsoft Entra ID Restringe el Acceso al Portal de Administración,Control,No,Configurar la opción de restricción de acceso al portal de administración de Microsoft Entra ID como activa.
TMA-BD84,Microsoft Entra ID Habilita los Valores de Seguridad Predeterminados,Control,No,Activar los valores de seguridad predeterminados para reforzar la seguridad de Microsoft Entra ID.
TMA-B69A,Instancia de GCP Compute Engine Usa Cuenta de Servicio Predeterminada,Amenaza,No,"La instancia de máquina virtual tiene asignada la cuenta de servicio predeterminada, que normalmente posee el rol de Editor, otorgando acceso de lectura y escritura amplio a los servicios del proyecto."
TMA-B527,Almacenamiento Inseguro de Secretos en GCP Cloud Function,Amenaza,No,"Los secretos de la función se transmiten a través de variables de entorno o están incrustados en el código fuente, en lugar de gestionarse de forma segura mediante Secret Manager."
TMA-E3A7,Registro de Acceso al Servidor en AWS S3,Control,No,Implementar el registro de acceso al servidor para dejar constancia de todas las solicitudes realizadas al bucket de S3.
TMA-44B5,AWS Lambda Usa URLs de Función Innecesarias,Amenaza,No,La función tiene habilitadas URLs de función que no son requeridas para su funcionamiento.
TMA-19B9,Seguridad de la Cuenta Raíz de AWS,Control,No,Verificar que la cuenta raíz use MFA y no emplee claves de acceso ni certificados X.509 para operar.
TMA-FE61,Azure SQL Server No Integra Microsoft Entra ID,Amenaza,No,El servidor SQL no tiene habilitada la integración con Microsoft Entra ID para la autenticación centralizada.
TMA-146B,Azure Asigna el Rol de Administrador de Bloqueo de Recursos,Control,No,Asegurar que se asigne un rol de administrador de bloqueo de recursos para cada suscripción de Azure.
TMA-6AD9,Auditoría de Seguridad Inadecuada,Amenaza,No,"El sistema carece de auditorías de seguridad suficientes, como evaluaciones de vulnerabilidades y pruebas de penetración, incrementando el riesgo de vulnerabilidades no detectadas que podrían ser explotadas por actores maliciosos."
TMA-5255,Identidad de Microsoft Entra con Mínimo Privilegio,Control,No,Asegurar que la identidad de Microsoft Entra tenga únicamente los privilegios mínimos necesarios para llevar a cabo sus funciones.
TMA-DFFB,Cuentas de Servicio Gestionadas por Usuario de GCP IAM Usan Claves Administradas por GCP,Control,No,La cuenta de servicio gestionada por el usuario emplea únicamente claves administradas por GCP en lugar de claves gestionadas por el usuario.
TMA-9540,AWS EC2 con Grupos de Seguridad Estrictos,Control,No,Emplear grupos de seguridad estrictos en lugar de los predeterminados para proteger los recursos sensibles frente a exposición no autorizada.
TMA-276F,GCP IAM Habilita la Transparencia de Acceso,Control,No,Activar la función de Transparencia de Acceso para incrementar la visibilidad de las acciones realizadas por los usuarios.
TMA-D627,Azure App Service Deshabilita la Depuración Remota,Control,No,Deshabilitar la funcionalidad de depuración remota en las aplicaciones web de Azure App Services.
TMA-BE2A,Cierre de Sesión Automático,Control,No,Implementar procedimientos que finalicen automáticamente la sesión electrónica tras un tiempo predeterminado de inactividad.
TMA-AC31,GCP Compute Solo Puede Usar Imágenes Aprobadas,Control,No,Asegurar que únicamente las imágenes previamente aprobadas puedan emplearse para lanzar instancias de máquina virtual en GCP.
TMA-8783,AWS CloudFront Se Conecta a Orígenes con Cifrado TLS Seguro,Control,No,Asegurar que CloudFront recupere contenido de los orígenes empleando versiones de protocolo TLS aprobadas y suites de cifrado sólidas para proteger los datos en tránsito.
TMA-7497,Microsoft Entra ID Restringe Gestión de Grupos y Aplicaciones,Control,No,"Denegar los permisos de autoservicio para creación de grupos, gestión de aplicaciones y consentimiento de acceso a datos corporativos en nombre del usuario de Microsoft Entra ID."
TMA-D9AF,Aplicar Mínimo Privilegio,Control,No,Conceder únicamente el acceso y los permisos mínimos necesarios a cada usuario o proceso. Revisar periódicamente los privilegios para evitar la acumulación de derechos que supere los requisitos reales.
TMA-D8DC,Azure Function Usa Claves de Acceso,Control,No,Asegurar que las Azure Functions activadas mediante HTTP utilicen claves de acceso para controlar el acceso.
TMA-7708,Recurso Azure Aplica Control de Acceso,Control,No,Asegurar que el recurso Azure aplique políticas de acceso estrictas para prevenir accesos no autorizados.
TMA-854D,Rotación de Claves de Acceso a la API de Azure OpenAI,Control,No,Rotar periódicamente las claves de acceso a la API para prevenir el acceso no autorizado al servicio.
